first_author_last_name,year,city,country,study_design,intervention,metric,type of measure,measure,equity_group1,equity1_sample_size,equity_group2,equity2_sample_size,comparison_group,comparison_sample,comparison_group1,comparison_sample1,reliability,reliability_finding,validity,validity_finding,analysis,results ,conclusions,link_to_measure,notes
Derose,2018,Los Angeles,USA,cross-sectional,Park Use,Green Space,audit,System for Observing Play and Recreation in Communities (SOPARC),Sample is in low income parks only,,Gender,,,,,,,,,,3 level Mutilevel model (individuals in parks in neighbourhoods).,"Compared to men, women reported fewer park visits in the past week (−0.28 times/week, p<.001) and shorter durations of a typical park visit (−11.11 minutes/visit, p<.001). African Americans had 23 percentage points lower probability of exercising in the park (p<.001) and 26 percentage points lower probability of exercising elsewhere than white/Asian/other (p<.001). Latinos had 21 and 22 percentage points lower probability of exercising in the park and elsewhere, respectively, than white/Asian/other (p<.001).","Despite similar proximity to parks and controlling for a range of individual, park- and neighborhood-level factors, women in high-poverty neighborhoods experience consistent disparities in park use and PA as compared to men.",https://www-ncbi-nlm-nih-gov.cyber.usask.ca/pmc/articles/PMC2957838/,
Feng,2017,,Australia,longitudinal (5 time points),Park Access,Green Space,self-report,"Question: There are good parks, playgrounds and play spaces in this neighborhood. Response options: strongly agreed, agreed, disagreed, or strongly disagreed.",,,,,,,,,,,,,3 level Mutilevel model (time in individuals in neighbourhoods).,"A stronger dose–response was also observed by green space quality, with well-being across each indicator demonstrably more favorable among children whose parents perceived local green spaces to be of higher quality.",More detailed longitudinal studies of green space quality in relation to child well-being and development are needed.,,
Fontán-Vela,2021,Madrid,Spain,cross-sectional,Park Use,Green Space,audit,System for Observing Play and Recreation in Communities (SOPARC),Gender of Park Users,,,,,,,,,,,,,Differences in the proportion by gender performing high PA differed by NSES: these were higher in the high-NSES (15.1% males vs 8.9% females) compared to the low-NSES where proportions were more comparable (3.6% males vs 2.8% females).,"Parks were more visited in the high-NSES neighborhood, where a higher proportion of people performed high physical activity (as compared with residents in the middle- and low-NSES areas).",https://www-ncbi-nlm-nih-gov.cyber.usask.ca/pmc/articles/PMC2957838/,
Gallo,2015,Newcastle upon Tyne,UK,cross-sectional,Park Use,Green Space,audit,Observational Park Audit Tool (OPAT),Low income park,,,,High income park,,,,,,,,Comparisons between many factors,"Significant physical environment differences were observed between case study parks. Environmen- tal diversity favoured Eastern (deprived area); maintenance, absence of anti-social behaviour and aesthetics favoured Southville (affluent area); and exercise facilities and park amenities did not defi- nitively favour either park","While factors influencing park use and young people’s activity were not fully explained in this study, evidence suggests the importance of environmental diversity, exercise facilities and/ or amenities and safety over that of maintenance and aesthetic variables.",Can't find it and there is no citation in the paper,
Hoffimann,2017,Porto,Portugal,cross-sectional,Park Use,Green Space,audit,"Public Open Space Tool. 32 out of the 49 items from POST. We excluded items that were absent 
(e.g., barbecue area, dog fountains) and/or present (e.g., presence 
trees, access to public transport) in all green spaces, as they did not 
discriminate green spaces, and items with an unpredictable impact in 
green space use (e.g., arrangement of paths and trees). ",European Deprivation Index (EDI),,,,,,,,,,,,Kendals tau test for correlation between park outcomes and deprivation,"In multivariable models, only the mean distance to the green spaces within 800 m (OR = 1.156, 95% CI: 1.099, 1.215) remained significantly and positively associated with the deprivation quintiles (larger distances in more deprived neighbourhoods). ","Our study suggest that there is a need to improve accessibility and quality green space in Porto, especially in the more socioeconomically deprived areas of the city.",https://www.web.uwa.edu.au/__data/assets/pdf_file/0003/411951/POST_Manual.pdf,
Juonala,2019,,Australia,cross-sectional,Park Access,Green Space,self-report,Are there good parks and playgrounds/play spaces?”,,,,,,,,,,,,,Linear regression models,Proximity to parks/playgrounds and shopping facilities was associated with dyslipidemia,"In conclusion, the present data show that among a population of children and adolescents with established severe obesity, neighbourhood advantage and living-related factors, such as walkability, are associated with less severe obesity.",,
Kamel,2014,El Paso,USA,cross-sectional,Park Access,Green Space,audit,Community Park Audit Tool (CPAT),Area level income,,Area level % foreign born,,,,,,,,,,ANOVA,"The number of park facilities (F = 10.21, p < 0.01) per tract differed significantly across income tertiles (Table 1). Specifically, the medium income tertile had significantly more facilities than the low (p < 0.01) or high (p = 0.02) income tertiles.The number of park aesthetic features did not differ significantly across either income (F = 0.29, p = 0.75) or percent foreign-born (F = 0.09, p = 0.91) tertiles .","Future research should consider policies which may contribute to or may rectify resource disparities across communities, as well as identify how access or lack thereof, to quality park environments affects physical activity and other health outcomes for at-risk populations.",https://www-sciencedirect-com.cyber.usask.ca/science/article/pii/S0749379711009032,
Lara-Valencia,2018,Pheonix - Mesa,USA,cross-sectional,Park Access,Green Space,audit,Public Open Space Audit Tool (POST),% Latino in three categories,,,,,,,,,,,,ANOVA,"There was a statistically significant difference between quartiles as determined by one-way ANOVA for shaded playgrounds (F = 12.49, p < .000); and other amenities, an aggregated score com- bining availability of architectural features, picnic tables and benches (F = 17.03, p < .000). There was a statistically significant difference between quartiles as determined by one-way ANOVA for a number of trees (F = 7.75, p < .000) and for dominant land uses (F = 2.91, p < .035).","This research has examined the spatial allocation of park space and services across neighbourhoods with different concentrations of Latino residents in Phoenix and Mesa, Arizona.",https://doi-org.cyber.usask.ca/10.1016/j.amepre.2010.10.024,
Marquet,2019,New York City,USA,cross-sectional,Park Access,Green Space,audit,System for Observing Play and Recreation in Communities (SOPARC),Focus in low income high % Latino areas,,,,,,,,,,,,Negative Binomial Regression,"Teenagers of both genders and most race/ethnicity groups were less likely to be in a park and had lower per capita energy expenditure, compared with children. The difference in park attendance was greater than the difference in per capita energy expenditure. Dissimilarities were clearly gendered and race/ethnicity dependent. Asian and Latino females showed the greatest divergence between childhood and adolescence. African American boys were the only group to show a positive age contrast in park attendance and per capita energy expenditure.","Overall, our study has demonstrated that there is an almost universal decline in park use among adolescents when compared with children 5–10 years old of the same demographic group.",https://doi-org.cyber.usask.ca/10.1123/jpah.3.s1.s176,
McCarthy,2017,Southeast County (no name given),USA,cross-sectional,Park Access,Green Space,audit,Community Park Audit Tool (CPAT),,,,,,,,,,,,,Multilevel logistic regression,"No differences in playground access according to gender or race/ethnicity, but that higher SES youth were nearly half as likely to have a playground within ½ mile [odds ratio (OR) = 0.60, confidence interval [95% CI] = 0.50–0.72; Table 2]. For the second research question, which included only those youth with a playground within ½ mile (n = 1844), there were no significant differences in higher vs. lower average playground quality by gender, SES, or race/ethnicity (Table 3).",,,
Panken,2015,Flint,USA,Case Control,Park Renovation,Green Space,audit,Parks and Play Spaces Direct Observation (PPSDO) tool and SOPARC,,,,,,,,,,,,,ANOVA,"Not only were the number of uses higher in intervention parks, but also the average park use per hour was higher in those same parks. Furthermore, individuals tended to be less sedentary and more moderately physically active in intervention parks than in comparison parks (chi-square statistic = 10.2251; P = .006). Thirty-two percent of the users in the intervention parks and 53% of users in the comparison parks were sedentary.","City of Flint parks have long been seen as underutilized community assets, but more recently parks have become a rallying point for the community to help revitalize Flint and provide places for active play.",PPSDO: http://www.transtria.com/enhanced_evaluation_resources.php,
Vert,2019,Barcelona,Spain,Case Control,Park Renovation,Green Space,audit,System for Observing Parks and Recreation in Communities (SOPARC),,,,,,,,,ICC,"the overall ICC between observers was 0.996 (95% CI; 0.994, 0.998), showing the highest agreement for activity level [0.998 (95% CI; 0.997, 0.999)], and the lowest agreement for ethnicity [0.866 (95% CI; 0.806, 0.908)].",,,Multinomial logistic regression,"Overall, more males were observed in the riverside area than females, both before and after the intervention. However, after the intervention, we observed a 43% increase in females at the renovated area of the river while the number of females decreased 26% in the non-renovated area. Although the intervention was designed to enable use by people of all 
physical abilities, we only observed 8 disabled users (6 in 2016 and 2 
in 2017) during the whole study period (data not shown).","We found that the urban riverside regeneration project undertaken in the Besòs Riverside Park in “La Ribera” neighbourhood in Montcada i Reixac, promoted the use of this area by improving the accessibility to the riverbanks. Results suggest a reduction in inequalities, mainly in the renovated area, in terms of gender and ethnicity.",,
Winter,2019,Los Angeles,USA,cross-sectional,Park Use,Green Space,audit,"SOPARC (or modified versions, such as SOPLAY or SOPARNA)",,,,,,,,,,,,,,"Males represented the majority (63.4%) of observed recreationists (Table 4), although they represented a larger proportion of visitors in the disadvantaged communities than in the affluent communities. he proportion of recreationists within each age group also varied significantly by community. Latinos were the predominant ethnic/racial group observed in the disadvantaged communities (93.9% overall, Table 4),
 and made up the largest proportion of ethnic group members observed 
(68.9%); Whites were the majority group (71.2%) observed in the affluent
 communities.","Future research focused on encouraging active park use, particularly in areas impacted by elevated risks from pollutants, may benefit from incorporating a nuanced approach",,
Yuma-Guerrero,2017,,Calfornia,cross-sectional,Park Access,Green Space,self-report,Respondents’ assessment of whether there are good parks or playgrounds in the neighborhood and whether respondents feel comfortable going to the park or playground closest to where she lives during the day. Both indicators are coded on a 4-point scale with higher levels indicating higher agreement.,,,,,,,,,,,,,Structural equation modelling,Park access significantly associated with Social Cohesion then to PA. ,"This study found social cohesion mediated the pathway between perceptions of safety to engagement in PA for a diverse sample of mothers, indicating neighborhood social cohesion may be a beneficial target for public health intervention.",,
Zenk,2020,Chicago,USA,natural experiment,Park Renovation,Green Space,audit,System for Observing Play and Recreation in Communities (SOPARC),,,,,,,,,,,,,Difference in Differences,"Whereas short-term changes in park use differed between renovated parks and comparison parks in low-income neighborhoods (b = − 0.787, p < 0.001), there was essentially no short-term change in park use in renovated parks in low-income neighborhoods (0.703 + − 0.787 = − 0.085, p = 0.33) (Table 2). The longer-term change in park use differed between renovated parks and comparison parks in low-income neighborhoods (− 0.666, p < 0.001), with park use decreasing longer term in renovated parks located in low-income neighborhoods (− 0.923, p < 0.001).",Our finding that positive impacts of playground renovations on park use and park-based MVPA were confined to higher income neighborhoods and low-percent Black neighborhoods suggests that complementary strategies may be needed to ensure renovations benefit all neighborhoods.,,
Zieff,2018,"Bogota, San Francisco and Temuco","Colombia, USA and Chile",pre-post (comparing a non-OS event day to OS event day),Open streets programs,Green Space,audit,"Survey part of the Stanford Neighborhood Discovery Tool: 25-item demographic/environmental observation survey ((e.g., cracks in sidewalks, sidewalk corner ramps, traffic calming facilities  gangs, homeless, garbage, graffiti).
Note that the Stanford Neighborhood Discovery Tool is technically a tablet or smartphone based participatory tool that incorporates photo and voice technology, GPS but also a more standard survey (described above)",area-level SES,"Bogotà: 32 adults from low-, middle- and high-income nbg",older adults (65-89 yrs-old),Temuco: 8 older adults,NA,NA,NA,NA,No,NA,No,NA,"Pre-post comparison of environmental characteristics, comparing non-event day to OS event day",No statistically significant differences in perceived environmental characteristics between sites (cities),"DT was a useful tool for training local citizen scientists to notice changes to the
built environment that support or interfere with PA.
The reported differences in results across sites suggests that the DT is sensitive enough to allow respondents to
report context-specific built environmental infrastructure as well as elements of OS initiatives that support
PA or that need improvement. ",https://www.sciencedirect.com/science/article/pii/S0749379712009361?via%3Dihub,Also included in the walkability/bikeability review
Blanchette,2020,"3 regions (Ottawa, Ontario; Vancouver, British Columbia; and Trois-Rivières, Québec)",Canada,multi-site cross sectional,N/A,Walkability,self-report questionnaire (parent & child),,,,,,,,,,,,,,,,,,
Hino ,2017,Curitiba,Brazil,cross-sectional,n/a,Walkability,self-report,Brazilian version of the Neighborhood Environment Walkability Scale-Abbreviated (A-NEWS).,,,,,,,,,yes - in this and in other studies,A-NEWS presented high reproducibility (test-retest with interval of 7-10 days between applications) with the lowest intraclass correlation coefficient of 0.67 (95% CI = 0.47-0.80) and the highest 0.95 (95% CI = 0.92-0.97).,yes other studies,,multilevel logistic binary model.,,,https://periodicos.ufsc.br/index.php/rbcdh/article/view/1980-0037.2017v19n5p596/35468,"A-NEWS is obtained by means of the perception of the predominant types of residences in the neighborhood and has as options of response a 5-point likert scale that ranges from “none” to “all”, with value 1 corresponding to answer op-tion “none” and five as the option “all”. For all other questions, the answer options  were  composed  of  a  4-point  likert  scale  with  “totally  disagree”,  “partly disagree”, “partly agree” and “totally agree” options. "
Casagrande,2011,"Baltimore City, Maryland",USA,cross-sectional,n/a,Walkability,audit,The Pedestrian Environment Data Scan (PEDS),low/diverse SES,"N=1231; 64% categorized as high SES, 36% low",diverse race,,,,,,yes,"A 5% reliability sample was conducted for each neighborhood where pairs of
raters assessed the same segments for quality
control purposes; j statistics were high, ranging
from 0.75 to 0.99 for most PEDS items.",not noted,,,"Among individuals living in predominately White and high-socioeconomic status (SES) neighborhoods, residing in highly walkable neighborhoods was associated with a lower prevalence of obesity when compared with individuals living in poorly walkable neighborhoods, after adjusting for individual-level demographic variables (prevalence ratio–[PR]=0.58; P=<.001 vs PR=0.80; P=.004). The association between walkability and obesity for individuals living in low-SES neighborhoods was not significant after accounting for main mode of transportation (PR=0.85; P=.060).","see results; ""more research needed""","PEDS:  Clifton K, Livi Smith AD, Rodriguez D. The development and testing of an audit for the pedestrian environment. Landsc Arch Urban Plan. 2006;80(1-2): 95–110.",Auditors worked in pairs and discrepancies were reconciled on-site
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,2020,"South Los Angeles, California",USA,case study,n/a,Walkability,participatory mapping sessions,"participatory mapping sessions

Trained Community Coalition and PARC mapping facilitators and South Los Angeles residents convened at a local community center in March 2015 to map 1) resident walking routes to Helen Keller Park and 2) neighborhood characteristics (eg, streetlights, crime) associated with park access. This information would then be scaled up to 3) examine place-based determinants of health across South Los Angeles, and based on these results, 4) develop grassroots solutions for improving recreational access.

To achieve mapping objectives, as a collective group, residents were briefed on mapping procedures and informed that they could stop participating at any time. Participants then joined 1 of 4 contemporaneous, 1-hour mapping sessions, each with 8 to 12 participants. Two mapping sessions were organized according to resident location to account for geographic differences in resident experiences, a third session accommodated Spanish-language speakers, and a fourth session included community adolescents aged 15 to 18. In addition, public health officials and gang interventionists, who also possessed knowledge of the area, aided in session facilitation.

Facilitators began each session by reviewing mapping objectives. Participants were then geographically oriented to recognizable neighborhood institutions on the 4-by-5-foot paper street maps (Figure 1) to confirm participant map awareness. Following this step, participants were asked to identify their walking and public transportation routes to Helen Keller Park and neighborhood assets (eg, streetlights) and challenges (eg, crime) that may encourage or encumber resident mobility. Mapping facilitators traced resident mobility routes, marking assets and challenges along each route. Notes were also recorded on paper to capture resident concerns that could not be mapped. Then, participants reconvened into the collective group to review overarching themes and provide an opportunity for participants to add any additional points missed during breakout sessions. Participants were offered dinner after the event.",diverse race,,disadvanataged communities,,,,,,n/a,,n/a,,"digitize maps, review, scale maps",case study - focussed on benefits of participant mapping,"The case example presented here involved community residents and organizers, gang interventionists, public health and park officials, and health disparities researchers in collaboratively identifying research methods and procedures using the skills and expertise of our collective partnership. The resulting mixed-methods PGIS approach combined qualitative participatory mapping techniques involving reference maps with quantitative GIS analyses to connect resident spatial, contextual knowledge (primary data) with crime data (secondary data) to empirically confirm their experiences of place. These empirical data accordingly supported resident advocacy efforts that resulted in a major policy win that could limit proliferation of tobacco shops in Los Angeles County. We thus contend that participatory mapping is a powerful, visual mechanism of knowledge production for 1) diagnosing fundamental causes of health and disease, and 2) empowering disadvantaged communities to redress systemic inequities that manifest in health disparities through community organizing and policy change initiatives grounded in resident knowledge of place (8,9).",,
